day,blocks,p50,p80,p90,p99
2025-08-09 00:00:00.000 UTC,7160,0.017529704819405276,0.017529704819405276,0.04456694429090945,0.26526379722692184
2025-08-10 00:00:00.000 UTC,7155,0.016216789772274035,0.016216789772274035,0.03783169418206365,0.16823408216789154
2025-08-11 00:00:00.000 UTC,7144,0.01938946048283139,0.01938946048283139,0.05117911690661716,0.2768132687011408
2025-08-12 00:00:00.000 UTC,7158,0.019593333849743225,0.019593333849743225,0.058298600779276864,0.36149371617762727
2025-08-13 00:00:00.000 UTC,7165,0.02332549183014435,0.02332549183014435,0.07895237723062429,0.3700342594881016
2025-08-14 00:00:00.000 UTC,7143,0.020998883761477325,0.020998883761477325,0.08387379777150356,0.7448468123594143
2025-08-15 00:00:00.000 UTC,7165,0.01681327940680642,0.01681327940680642,0.06628245689395677,0.25364079462257266
2025-08-16 00:00:00.000 UTC,7161,0.012173500816599257,0.012173500816599257,0.025969505068613778,0.13308888292243587
2025-08-17 00:00:00.000 UTC,7171,0.01297575304747894,0.01297575304747894,0.029390625915827577,0.16555570998025249
2025-08-18 00:00:00.000 UTC,7168,0.016758580390478808,0.016758580390478808,0.045378071729243345,0.26625899332193137
2025-08-19 00:00:00.000 UTC,7175,0.016905404220039846,0.016905404220039846,0.04841536127944149,0.2677930716487729
2025-08-20 00:00:00.000 UTC,7165,0.01612328064836429,0.01612328064836429,0.04336073212176968,0.22273312605805973
2025-08-21 00:00:00.000 UTC,7155,0.014567141965469496,0.014567141965469496,0.03731365974443688,0.20429048476107203
2025-08-22 00:00:00.000 UTC,7170,0.019375848439628432,0.019375848439628432,0.0774545242852383,0.49356696261572586
2025-08-23 00:00:00.000 UTC,7153,0.013370829959900968,0.013370829959900968,0.032790305140837084,0.16905938724886704
2025-08-24 00:00:00.000 UTC,7174,0.013467418928037118,0.013467418928037118,0.042103960582636,0.28216072506390233
2025-08-25 00:00:00.000 UTC,7163,0.016138260276461893,0.016138260276461893,0.049738931803717655,0.27064348863371357
2025-08-26 00:00:00.000 UTC,7162,0.014854804917640116,0.014854804917640116,0.039737605768701244,0.19876949171608324
2025-08-27 00:00:00.000 UTC,7159,0.014989081266391193,0.014989081266391193,0.04385041232606468,0.2332387978134826
2025-08-28 00:00:00.000 UTC,7154,0.014187974517890847,0.014187974517890847,0.03428199375686358,0.19064451729074577
2025-08-29 00:00:00.000 UTC,7166,0.014645880103335476,0.014645880103335476,0.039751543607905726,0.2828462224584584
2025-08-30 00:00:00.000 UTC,7170,0.010435297479367577,0.010435297479367577,0.020897763318602887,0.09524219256871942
2025-08-31 00:00:00.000 UTC,7162,0.010572450265542658,0.010572450265542658,0.023391980288555794,0.11154214084862768
2025-09-01 00:00:00.000 UTC,7162,0.01659924518916654,0.01659924518916654,0.0774412252668689,0.592178160546497
2025-09-02 00:00:00.000 UTC,7119,0.013312869689417035,0.013312869689417035,0.037283393121215105,0.17647075310667584
2025-09-03 00:00:00.000 UTC,7163,0.011680324743620518,0.011680324743620518,0.02981702937956991,0.16012579545970637
2025-09-04 00:00:00.000 UTC,7154,0.013352937729773137,0.013352937729773137,0.03452631606493926,0.1700925502618084
2025-09-05 00:00:00.000 UTC,7155,0.011983264998467531,0.011983264998467531,0.03477277439581934,0.21783916781658805
2025-09-06 00:00:00.000 UTC,7144,0.009662560495544597,0.009662560495544597,0.019423140936677834,0.09843327246069726
2025-09-07 00:00:00.000 UTC,7158,0.009389773391017965,0.009389773391017965,0.018562760848026324,0.07600735387923216
2025-09-08 00:00:00.000 UTC,7156,0.011922665167570002,0.011922665167570002,0.030224350682986015,0.14108370921228158
2025-09-09 00:00:00.000 UTC,7166,0.012752904859179947,0.012752904859179947,0.031148185650711504,0.14504180054574264
